,text,sentiment,word_count
ENTRY-010,"Man was I expecting more from this place. I've heard such great things from friends in different places so maybe it's just this particular location... not sure. We went on my birthday and the food was just ok. Nothing special. But more importantly I felt like we were an inconvenience to the staff. Like how dare we come in for lunch, or order an appetizer. Maybe it's better at night? Or when their busier? Oh well *Happy Birthday to Me*",Negative,80
ENTRY-011,"wife and i were running late prior to the justin timberlake concert and didn't have the time to make our reservations at palazzo's cut after raving over the one at LA. guess it was a blessing in disguise when we stumbled upon american fish...\n\napprehensive at first, because i usually yelp new places, i still didn't expect anything of the place until i arrived home and did some post-experience research. it all makes sense now, it's a michael mina product, okay, okay.\n\nseafood may be their forte but we were craving for a good prime rib and the entree \""salt baked prime rib\"" piqued our interest (medium rare, warm center of course) when we perused the menu. the presentation was amazing to say the least. the prime rib was first rubbed with egg yolk and then encased in about 3-4 inches of salt. they brought out a white cocoon of an object, split it open, and boom, a prime rib was born!\n\nit was super juicy, tender, and (fill in synonymous words with orgasms and taste buds)\n\nat $85/person, the prime rib was for two. it also included 3 sides: potatoes, some sort of beats/onion side, and creamed spinach. there was also a dalloop of horse raddish cream that complimented the prime rib very nicely- it wasn't too bold or overpowering. house cab made for a good pairing as well.\n\nlike i said, it was a quick meal and we wanted to get straight to business so we were a bit sad we skipped on the appetizer and dessert. if i were to guesstimate the prime rib in oz, id say about 45oz +/- so bring an appetite. \n\nthe service was great, from the hostess to the table, to the runners, and everyone in between.\n\nwhat else to say. im probably still drunk, my wife took a picture of me on the ceramic floor of our hotel room, eating the prime rib at 5am in my boxers. it was the most amazing drunk food in my life.",Positive,331
ENTRY-012,"I have been coming here for years and have enjoyed most of my experiences, whether they are attempting to break the 3 margarita limit or seeing how many happy hour shrimp tostada bites I could shove into my slobbering maw.\n\nAll of the food is at least satisfactory with a few real winners scattered about. The achiote chicken chopped salad is a fantastic almost-healthy entree, and the chicken, artichoke and mushroom stack is a bonanza of flavor. \n\nIf you wish to have an epic gastronomic experience and care little about stomach pains and other adverse, long term affects, then I highly recommend the 5-cheese macaroni and achiote chicken. This entree is not for the faint of heart.\n\nIf you are looking for the strongest and tastiest frozen margarita, the Frusion is the way to go. The ladies might prefer the Chombord variety, but you can't go wrong with any of them.",Positive,149
ENTRY-013,"WOW. Amazing and fresh pizza, sandwiches and salads. AND vegetarians/vegans and the gluten-sensitive are in luck too! As they have a gluten-free pie crust (which is to DIE FOR it's sooo delicious) and gluten-free salads too. They will also remove meat items from any pizza to create a veggie option, including removing the cheese for vegans! Talk about customized pizza. And the portions are great big sizes and some items are family recipes...so they're homemade and incredible. And the owner, Biaggio, is just delightful! Spent most of our dinner chattin' it up with him while we were there. :)  I hightly recommend this pizza place. Really one of the best I've found in Vegas. Thanks for the amazing dinner last night!",Positive,121
ENTRY-014,"Located on the touristy (and often over priced ) Royal Mile I was surprised by how affordable the drinks were at this place.(and despite the name-pun as well!Sorry couldn't help it!)\n\n We obviously had come an perhaps the wrong night as there was a stag and hen party going on at the same time. Watching middle aged women in very tight polyester tube dressers seductively (aka as drunkenly) pursue the middle aged men who swaggered with a I'm-Daniel-Craigs-sexier-brother attitude , provided plenty of entertainment for us. But despite its surprisingly clean and well decorated interior nothing else made it stand out as a bar. It's central and affordable and won't break the bank. (Sorry!)",Neutral,114
ENTRY-015,"This is the only place that I know of that has Only 8 product in AZ. If anyone knows of another place, please share ... because I drive from Pinnacle Peak area to get this yogurt. What other sweet treat can you eat that is so low in carbs, low calorie and therefore guilt free to indulge. Grasshopper is my favorite flavor but hit and miss when they have it. Second best is Peanut Butter which they always have.",Positive,79
ENTRY-016,"If you can get a good price on this hotel, I'd say go for it. It's cheaper than Caesar's and better than Bally's. I stayed here three times, and I tried the $20 trick twice and it worked! Both times, I got great views. Overall, if everything go accordingly, this hotel is my preferred place.",Positive,55
ENTRY-017,"Let me begin by saying, if you aren't the type who likes reviews to be protracted: the place was bomb-diggity. Hella delish. Gut-busting.\n\nOur visit to the Windsor got off on the right foot. The place is centrally located on Central Avenue. We visited on a Saturday night, and as we were driving in, the parking lot looked crammed to the gills. But not to worry, thanks to the free valet parking! The aesthetics of the place made it feel like a cross between a swank steakhouse in the lobby of an enormous hotel, and a hip, jam-packed bar where all the cool kids go on Saturday night. It was a young crowd. People were well-dressed. The ma\u00eetre d was the sole exception, but he made up for his faux pas of an outfit (an obnoxious sailor-striped shirt of red-white-and-blue with a too-small turquoise coat) with a sweet handlebar mustache.\n\nIt was a 20 minute wait for a table, a wait time that surely must have been hand-crafted, because it is a magic number: small enough to entice hungry visitors to stay and wait for a table, long enough to whet appetites, grab (and finish) a cocktail, and heighten appreciation of a meal. Or, wander next door into the candy shop.\n\nThat's right. A candy shop.\n\nAnd not just a candy shop: a kaleidoscope of sugar, a five-year-old's dream vacation, a CIA black site for diabetics, everything bright pink and bright red and bright green and bright blue and bright white, the whole place smelling like we had all been miniaturized and placed in a candle jar with a scent like \""Sugar Cookie\"" or \""Butter Cream Dessert.\"" We got our ass kicked by some house-made Vietnamese Coffee ice cream (Vietnamese coffee is the kind of coffee that makes American coffee run home grumbling and holding its tail between its legs while the ghost of Dick Nixon rambles on about \""peace with honor\"").\n\nWe returned to the restaurant, and seats opened up at the bar, which has full food service, so we picked a house cocktail called \""No. 63\u2033 and relished in the hip swagger, the debonaire carelessness, of ordering a drink by number, as though we were at the Burger King drive-thru. Unfortunately for us, we failed to ask the waitstaff for a drink recommendation, which they expertly provide anyone smart enough to ask, and the drink we chose - Kentucky bourbon, grapefruit juice, honey syrup, slice of orange - did not match our dish well. But the drink was above-average: a sunset-colored explosion of delicious orange liquor with a hint of rind.\n\nFrom the menu, we ordered a bacon cheeseburger, and it must be said that this bacon cheeseburger was unlike any other bacon cheeseburger we've ever tried. When it arrived we began to dig in, and quickly found ourselves elbow-deep. It was like some giant cheeseburger had been knocked up by a slab of saucy pork ribs, and given messy birth on a bed of McDonalds french fries, with ourselves serving as the midwife. Steak sauce went everywhere; the bun was flimsy formality; a knife and fork were (to borrow a phrase from mathematics) necessary but insufficient conditions for eating the cheeseburger. Time seemed to stand while we ate.\n\nWhen the bacon cheeseburger had been completely subsumed, we returned to our drink, which had been neglected throughout the entire course of our serving as midwife (in a rather Saturnarian manner). Soon after the glass had been emptied, it was as though we had pushed a \""call attendant\"" button on a plane: a waitress arrived, asking if she could get another drink. Affirmative. Then the bartender who was helping us asked if he could get us another; then the bartender who was not helping us asked if she could get us another.\n\nSuch good service led us to experience what can only be described as culture shock: being native to San Francisco, where, when you stand at a bar to order a drink, the bartenders will size you up without looking at you and insert you into an undisclosed spot in their mental queue, ignore you for an undisclosed amount of time (average: 20 minutes) with the icy deliberateness of a corpse, then (when you begin to die a long and protracted death from dehydration) suddenly glare at you and growl \""What do you want?\"" and roll their eyes at whatever lame thing you ordered, we had developed a kind of Stockholm syndrome, where the prospect of having a bartender too cool to bother with good service created a thrill of excitement. Yes, of course we will pay more to be treated poorly! It took some acclimatization to understand that, no, experiencing such good service did not mean the Windsor was a trashy, low-quality place. Au contraire, mon frere!\n\nWhen it came time to leave, the check was in a shot glass in front of us, constantly updated, so it was easy as pie to pull the pin. We waddled out with a big fat food baby gestating in our stomachs. And we didn't even THINK about going next door for dessert.",Positive,844
ENTRY-018,"When I first moved to Vegas a few years ago, I had to wait a few days before I could move into my place.  And, I didn't want to stay at the Budget Motels... for obvious reasons.  So, I looked into hotels near my place and ended up choosing AZ CHUCK'S.  The hotel is not attached to the casino.  It has a small pool, which I didn't use.  The room I stayed in was actually pretty nice.  It was a one bedroom suite and it was quiet.  That is all that I was looking for when I ended up staying here for that time.  The Casino over the years has seen some renovation.  It is a nice little place with its' clientele being an older crowd spending their retirement money.  \n\nThey have a couple of restaurants upstairs, The Yukon Grill, Sourdough Cafe, and the Buffet.  Downstairs they have a couple of fast food places.  \n\nMy reason for checking into AZ Chuck's was to go to the Sourdough Cafe.  So, you can check out my review there if you like.",Neutral,179
ENTRY-019,"What really bothers me about this restaurant is that the staff treats it like it's their house, staff chats around like nobody's business and they don't treat the customer like they should. They had a salmonella problem and they should be aware that the customer should be the number one priority which they don't, bartenders and servers ignore you like they're doing you a favor.\n\nSecond, good was not good, stuffed dates were burned and everything else was tasteless, you don't come here to hang out and spend your nights to be serviced and have bad good like this.\n\nNext time we will pass on a place where they don't care about the customer, obviously they had that problem in the past (salmonella)\n\nWouldn't recommend it to my worst enemy.",Negative,127
ENTRY-020,"Can't really complain about its midnight value. For $3.95, you get a steak cooked to whichever context you'd like, hash browns, two eggs, and two toast! The midnight happy hour menu deal goes on everyday from 12AM - 6AM. It's a bang for the buck. The quality is nothing to rave about since it's not like you're paying double digits. However, outside the discount, this food can be quite pricey for its quality.\n\nService is above average. Because these midnight hours are the busiest, they tend to be inconsistent but as a man of value, I'll never argue with this value.",Positive,100
ENTRY-021,"I knew we'd found the secret best deal spot in town when I walked in and the average age in the dining room was 70 or so. The social security set knows where to get the best food deals in town, and in this case they picked a place with damn tasty food as well. \n\nAs far as the more \""moderately priced\"" steak type places in town go, take a date to Twin Creeks. If on the other hand you're an old married couple just looking for good meat - this is your spot ! \n\nTuesday night is incredible. All entrees are buy one get one free! This makes their normally reasonably priced steak dinners ($25ish for a filet mignon + 2 sides) INSANELY priced. $12.50 for a filet mignon and 2 sides? WHAT?\n\nLet it be known that I'm a steak snob. I've tried to do the $9.99 steak dinner casino rap and ended up throwing it away too many times. I can't do chewy cheap steak. I don't even eat Prime Rib as I find it beneath me. Yup, I said it, I'm the world's biggest steak snob. I went in to this place with pretty low expectations, I mean how the hell can you serve a sizeable filet for $12.50 with sides? The steak here blew me out of the water! SO TENDER, so perfectly cooked, so quality. It was crazy. Honestly it was just a couple ticks below a filet at Hanks. I asked for double green beans to avoid the carby potatoes and they were happy to oblige. The husband got a HUGE ribeye and also liked it, but it wasn't as money as my filet. It was really really good for a cheap ribeye, but it wasn't anywhere close to a Hank's ribeye if you catch my drift. The filet is where it's at!\n\nThe dining room is comfortable (it's like a lodge inside) and service was really awesome. Wine was fairly priced (we had a fabulous bottle for just $24 that retails for $16! Very low markup for Vegas). They also have very creative specials (think duck, inventive salmon dishes, etc - they post them on their website ahead of time). Unfortunately I've only had this $12.50 Filet mignon dinner once so I'm scared it was a fluke but I really hope it's not . Sometimes in life you don't get what you pay for - you get so much more ! A bottle of wine and 2 steak dinners with sides and bread for $50ish? Crazy I tell you.",Positive,425
ENTRY-022,"Close by and pretty darn good! Pho Rancho you had me at Hello. If you and I are friends, you already know I'm overly excited we have a pho restaurant in our neck of the woods now! Yes, driving to Spring Mountain was very inconvenient but there really wasn't any other choice for good Vietnamese food nearby. I'm glad to say I can now get my pho fix in North Vegas. And there's one thing you should know about me, I am a Pho snob. So I wasn't expecting it to be as good as my beloved Pho Saigon but what a pleasant surprise for me that it's a very close second. So delicious and not to mention kid approved. \n\nThe restaurant itself is very clean, equipped with flat screens which are usually set to the food network. The portions could be a tad bigger but the prices are fair and the staff is very friendly. They will refill your drinks before you happen to notice your glass is half empty (or half full if your the optimistic type). And I also like how they come by periodically to remove empty plates, you don't usually see this type of service at other Vietnamese restaurants. \n\nThey definitely have the right idea and will stand out from the bunch. Making sure customers are happy is the best way to ensure they will be back and often. Case and point, the restaurant just opened in November and I've been back twice and that is only the beginning. 4 solid stars. ; ) PhoLife.",Positive,260
ENTRY-023,"I took my car for an interior clean, which includes cleaning seats and carpets. Mermaid gets 2 stars because my car was a whole lot cleaner when I left than when I brought it in, because the cashier was competent, because it took less than the two hours they estimated, and because the parrots entertained me while I waited. Other than that, not much was good. Where to start....\n- I had to make an appointment for a detail, which I didn't know because it isn't mentioned anywhere online or on their signs. I was told when I pulled up, so I turned around and left, and called for an appointment.\n- Approximately zero communication. The check-in guy just told me to \""take this to the cashier.\"" The vacuum guys opened my doors and stood there staring at me, completely silent. Good thing the building it set up to show you where to go because I sure didn't get any instructions.\n- When I got my car back, the first thing I noticed was that there were mud splatters low on the door. They had driven my car through puddles on the way from the detail bay and hadn't cleaned it up.\n- The second thing I noticed was that my seats were wet. Not dripping, but way too wet to sit on. They gave me plastic bags to sit on, but as an afterthought, and not before blaming my seats for holding the wetness. 24 hours later, my seats are still wet.\n- And then there were all the items in different places. They'd removed things from all of the pockets and compartments for cleaning, but instead of putting them back or even leaving them all in one central place, they left them all in different places. My favorite was the phone book left on the wet seat.\n- As I drove around that afternoon I started to notice all the other issues: streaks on the back window, puddles in my cup holders, a spill in one of the plastic compartments that I was able to easily clean with a wet cloth (so why couldn't they?), grittiness on the dashboard, a LOT of the outer coating removed from the bag around the stick shift.\n- And after a couple of hours....the smell. It's a combination of Little Green cleaning solution and mold, which makes me think, 1) they use detergent & water rather than steam, and 2) they didn't even use clean water. I was hoping the cleaning would get rid of the faint trashy smell that had developed over time, but the car actually smells much worse now.\n\nBottom line: Mermaid does a decent job on the big stuff, but half-asses the details, and skips the customer service altogether. Octopus does a much nicer job for similar prices.",Negative,462
ENTRY-024,"Cute little cafe! I work down the street and was anxiously awaiting opening day. They serve coffee, baked goods, and a variety of wraps from what I've seen. Everything I've tried so far is very tasty. I love that it's a drive through! The whole place has a very cozy, home-y feel. It seems like it was a renovated home, or office building with private offices, because it actually has a separate kids room, meeting room, and 2-person private meeting room in the back hallway in addition to traditional seating in the main eating area. Very unique.\n\nThat's the basics. As far as overall service and quality goes, I'd give it a 8/10. Here's the thing. I was invited to a soft opening to sample their food and drinks (and everything was tasty - didn't blow me away, but was tasty!) and then returned later that week to try the drive-through. Not everything was perfect, but I don't expect it to be in opening week - in my opinion, it's how you handle the small mistakes that's more important. When I ordered their peanut butter-banana-strawberry wrap and they were out of strawberries, they happened to have free samples out and gave me a handful of those for free. It was enough that it would've been close to a full wrap - and even had strawberries in it. That was a really awesome thing for them to do, and again, I don't expect everything to be perfect in the first week but their customer service truly speaks for itself. The owner seems really sweet and all of the employees I've encountered have been friendly and accommodating. That, to me, is more important than almost anything. \n\nAll in all, I look forward to seeing this business grow and supporting it as it does! It's a great concept and I hope it catches on. It's in a great spot and all the prices are very reasonable and worth what you get. Definitely check it out if you're curious!",Positive,334
ENTRY-025,"This review is for the concert series and not for the day time pool. I love the concept. You can't get much better than outdoor live music, and I like that they have different areas to stand or if you are lucky enough to find a seat. My preference is to go to the second level and watch the concert on the huge screen they play over the Strip. My only beef with this venue is the bars. They have such a small selection of liquor and beer, I understand it's a pool bar, but I mean when I'm paying $15 to drink out of a dixie cup, I should have more of a selection that just nasty American beer or the 5 liquors they carry. I asked for a straw so I could stir my drink and I was told I had to go to the main bar to get one. They also won't serve ice water, have to buy a bottle for $5. Well I'm sure I will be re-visiting this summer because there are a couple groups I want to see. Let's hope they get better beer and liquor!",Neutral,192
ENTRY-026,"I usually get the fried chicken here, which is delicious.  It comes with a biscuit that's sadly usually old or overcooked that I end up not eating, but I don't really care 'cuz it's free.  They have French toast which is made of that huge challah bread and tastes like you're eating bread that's been dipped in the eggs from god's ovaries, ohhh it's that yummy.  (God has ovaries right?  He's like, both, right, has everything?)\n\nTheir chicken noodle soup is sadly a disappointment.  I'm always on the search for delicious chicken noodle soup, and theirs was all... bleh.  The broth was icky and the noodles were thin and twirly.  Restaurant chicken noodle should be thick strips of noodles, you foolish fools, not twirly little pathetic bastards!!\n\nBut that's not why they get four stars instead of five.  The reason is their music.  Usually I come there late at night and, I dunno, I guess they're going for this trendy club-atmosphere or something, because they BLAST that shit and it's awful.  It's not that I hate the music (which I do because it's awful trendy crap, but I could change it by picking something out of the jukebox if I wanted), it's that it's SO.  Friggin'.  Loud.\n\nI guess, I dunno, the rest of you people have so completely damaged your hearing that you don't notice, but to me it's physically painful.  It's like sound warfare and I feel like I'm being attacked.  Plus I can't actually talk to my companion(s) without shouting at them.\n\nSince atmosphere is a big deal when going out to eat, there have been a few times where we've decided NOT to go there because we aren't in the mood to put up with such loud nose.  But you know, they change that and bam.  I'll give 'em five stars.\n\nAnd since we all know how much everyone wants MY five stars, I bet they'll be doing it within minutes.  Huhuhuhuhuh.\n\nUpdate:  They don't do cheese fries anymore.  For some reason.  Considering cheese fries is just melting cheese on fries, both of which they have, in like a microwave or under a heat lamp, this loses them a star.  It was my favorite side.  :C",Neutral,364
ENTRY-027,For the price that I had to pay...which was close to nothing..it was definitely not bad.  I mean the first thought of staying here I was kind of disappointed...I've never stayed off the strip before....I always stay on the strip but I guess I can't complain. We had a car so it didn't matter and our whole point of this trip was to not be on the strip.   \n\nThe rooms here were huge and we got connecting rooms which was a big plus....and they were no-smoking rooms...what a difference.  The beds were not bad but considering I didn't get much sleep..what do I know.  Now the bathroom was a bit weird....there was a window in the shower where people in the room can look at you.  And I am not used to the tub in the bathroom almost lost my toe taking a shower.  \n\nOverall not a bad place to stay if you had a car.  I do prefer the strip where all the action was.  And as for gambling here....ha no thank you.....I think I got robbed here.,Positive,179
ENTRY-028,"This is definitely one of the better Korean BBQs in Las Vegas.  When you walk in, everything is very shiny and clean.  The servers push carts around loaded with little side dishes and giant plates of raw meat.  Everyone who works here is really nice and sweet.  The tables are set far apart enough that you're not on top of other tables.  The lighting is extra bright - a bit too bright for my taste.  I call it cafeteria lighting.\n\nThe grills are a bit small.  Even for just the two of us, I found it annoyingly small.  We both did the AYCE dinner, which was $24.95 per person.  We ordered the bulgogi, spicy pork, beef ribs, rib eye and pork belly.  The server did all the work for us.  I half-heartedly flipped the meat here and there when she wasn't around, but she cut everything up for us and let us know when it was ready to chow down.   I wish we had grilled the pork belly first, rather than last because by the time we got to the pork belly, I could not eat one more bite of anything.  All of the meats were good except the rib eye.  It was completely tasteless and a waste of stomach space.\n\nThey give you a ton of little side dishes, of which we only ate about 3 things.  I loved the kim chi, the potatoes, the cucumbers, and the salad.  Everything else remained untouched.\n\nAll of this with 2 large Sapporos and we were happy little piggies.  I was so full and happy I could've crawled under the table and fell asleep like they do in those old western movies where the drunks just fall asleep at the table all sloppy.  I wanted to be that person.",Positive,294
ENTRY-029,"These guys are amazing, I wish I lived closer!!!!  The food is great, the calzones are out of this world (give them time to slow cook one for you, you won't regret it)!!!!! The guys at the front counter amaze me, they introduce themselves to the customers and 99.999% of the time, remember everyone's name!!! Well worth a trip to try out!!!!",Positive,62
ENTRY-030,"3.5 stars, but they get 4 from me since the grilled chicken was super juicy!\n\nMy friends and I came here around 9:30pm to grab dinner before clubbing. It took about 10 minutes to be seated, which wasn't bad considering it was extremely packed. It took awhile for our food to arrive, so this may not be the place to dine if you are in a hurry to get somewhere.\n\nWe saw how large the portions were, so my friend and I shared the Pasta with Grilled Chicken, Tomato, Basil & Mozzarella. The grilled chicken wasn't dry at all. I was surprised at how juicy it was considering it was white meat! I couldn't finish even though we shared. Definitely kept me full the rest of the night.\n\nYelp reviews said this was the sister restaurant of The Cheesecake Factory, so we kept comparing the two. I think I like this one better! We saw the next table's Shrimp Scampi and that looked absolutely delicious! Dine here if you want good quality and portions for the price!",Positive,174
ENTRY-031,i was not too convinced at the beginning but it turned to be a great place. Bring chairs and be prepared to used your car radio system. I think this will become a bi weekly thing for my family to do. Very affordable! $5 for a giant popcorn bucket with refill? i don't  think i can ask for more....well maybe a little repair of the road... that's all,Positive,68
ENTRY-032,Top Notch. Unique pizza sauce is fantastic. My favorite pizza in town which is half the price of my 2nd favorite: Grimaldi's. Super good value offered from a Father and Son run shop. I play poker most nights down the street at the Wynn Casino would order the flatbread pizza thru the casino at the restaurant Allegro. The base price is $18 and fill in the blanks for the extra fees/taxes and tips you hand out to people before you have a slice for a lesser product in my opinion. $10 + tip here. Who doesn't prefer spending money at a local small business ? A business that appreciates its customers and gains future business thru word of mouth. If your still reading this STOP and just order NOW !! You will not be disappointed !,Positive,136
